,Date,City,AQI,AQI_Bucket,Particulate_Matter_new,NO2_new,CO_new,SO2_new,O3_new,BTX_new
0,2015-01-01,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05027609055770292,0.005232921904328536,0.14253288625225688,0.5174220083811889,2.191132179981615e-05
1,2015-01-02,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.04329099944781888,0.005517319833911609,0.12659272633479493,0.13212013037404935,0.014187580865380958
2,2015-01-03,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.053257868580894534,0.09897047949490927,0.1499097240134124,0.11908272543846032,0.02788215699026605
3,2015-01-04,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05099392600773053,0.00966952960582447,0.09584730461697187,0.13995809405556417,0.017057964021156873
4,2015-01-05,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05911098840419658,0.12570388487571812,0.2028372452927521,0.1524910755859072,0.03142083546093636
5,2015-01-06,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.10621203754831585,0.25829019964734656,0.23600722207892696,0.18042837187645505,0.019917391516032883
6,2015-01-07,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.11212037548315848,0.6379614356407485,0.16646891926747484,0.12983082415024055,0.0
7,2015-01-08,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.10140806184428494,0.4599852113076617,0.19876192932679906,0.12370013968648144,0.0
8,2015-01-09,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.08556046383213695,0.16586087253284795,0.30265669331957695,0.09987583423870866,0.0
9,2015-01-10,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.019409166206515737,0.012789933502563076,0.04271343822543203,0.01761601738320658,0.0
10,2015-01-11,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.15403092214246272,0.751208691200728,0.1290688676811968,0.026307620673599253,0.0
11,2015-01-12,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.11225842076200995,0.296001365110062,0.2673716791333505,0.17802266025143565,0.011306242048705135
12,2015-01-13,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.12200441744892326,0.27768613844491213,0.35181841630126376,0.1363883284184386,0.038673482976675506
13,2015-01-14,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07689122032026505,0.10920880495989989,0.27155016765540363,0.08128977184541361,0.010528390124811661
14,2015-01-15,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.04679734953064605,0.0034127751549968715,0.14898117100851171,0.1847741735216514,0.0016762161176859358
15,2015-01-16,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05993926007730535,0.009271372504408168,0.19736909981944803,0.1785658854570852,0.002640314276877846
16,2015-01-17,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.06824958586416345,0.06507024628860701,0.25530049006964145,0.20266180350768276,0.00432748605546369
17,2015-01-18,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07112092766427387,0.03469654740913486,0.2497807583182873,0.2075120285581251,0.004053594532965988
18,2015-01-19,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07418553285477636,0.014276776065070244,0.2580345628062935,0.19195250659630606,0.0033743435571716874
19,2015-01-20,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07396466040861402,0.04504863204595871,0.30363683260252766,0.21868694707434422,0.004623288899761209
20,2015-01-21,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.09262838210933187,0.054149365792617025,0.5515604849110136,0.18911997516684773,0.00655148521814503
21,2015-01-22,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.04831584759801215,0.05147602525453615,0.12225947897859167,0.16378239950333695,0.004941003065858542
22,2015-01-23,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07716731087796798,0.12814970707013254,0.20211503740005157,0.12769672512804595,0.0069458890105417205
23,2015-01-24,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05626725565985643,0.011546555941072748,0.20665462986845498,0.1260282477106938,0.0029689841038750887
24,2015-01-25,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.0563776918829376,0.008076901200159262,0.3012638638122259,0.15229706658388947,0.0010407877854912671
25,2015-01-26,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.05839315295416896,0.012911666003071498,0.2255352076347691,0.1545087692068912,0.0017638614048852003
26,2015-01-27,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.059884041965764766,0.012456629315738581,0.2232138251225174,0.15943659785814063,0.0018295953702846487
27,2015-01-28,Ahmedabad,166.4635814889336,Moderate,0.09919025047553431,0.0582551076753175,0.032535123144303506,0.18834150116069126,0.24216203631848518,0.001588570830486671
28,2015-01-29,Ahmedabad,209.0,Poor,0.10435398632616712,0.07923799006073992,0.03941755304021387,0.25540366262574155,0.23184075741114385,0.003461988844370952
29,2015-01-30,Ahmedabad,328.0,Very Poor,0.10263622182176046,0.07915516289342904,0.07877822649451112,0.25009027598658756,0.3766102747167468,0.005313495536455416
30,2015-01-31,Ahmedabad,514.0,Severe,0.11030089748276042,0.09014356709000552,0.13872931005062283,0.34758834150116064,0.431941642092193,0.008676883432727196
31,2015-02-01,Ahmedabad,782.0,Severe,0.13195308410821466,0.11615129762562121,0.24731243956543994,0.388031983492391,0.39845568834393913,0.02882434382765815
32,2015-02-02,Ahmedabad,914.0,Severe,0.154059512411126,0.0974599668691331,0.31033502076104885,0.28387928810936286,0.4166149309327952,0.039582802831367885
33,2015-02-03,Ahmedabad,660.0,Severe,0.13389013769829025,0.07838210933186085,0.17410841249075706,0.1742584472530307,0.2855424491696414,0.013223482706189046
34,2015-02-04,Ahmedabad,294.0,Poor,0.10305913648697913,0.06300386526780784,0.013480461862237643,0.1326799071446995,0.1834937141083346,0.0
35,2015-02-05,Ahmedabad,149.0,Moderate,0.0914211514404063,0.059028161236885694,0.014788692338319778,0.1684291978333763,0.20770603756014278,0.0
36,2015-02-06,Ahmedabad,190.0,Moderate,0.10234905754290828,0.07435118718939812,0.0065980319663272845,0.3476915140572607,0.23005587459258106,0.0
37,2015-02-07,Ahmedabad,247.0,Poor,0.10726217729563374,0.0864439536167863,0.04146521813321199,0.41310291462470977,0.17363805680583577,0.0
38,2015-02-08,Ahmedabad,379.0,Very Poor,0.09973325202100027,0.07534511319712865,0.050736590637620156,0.27995873097755997,0.18395933571317707,0.0002958028442975181
39,2015-02-09,Ahmedabad,341.0,Very Poor,0.12043518594188911,0.06697956929872997,0.024571981115977477,0.2513283466597885,0.15493558901133012,0.003911170941267183
40,2015-02-10,Ahmedabad,256.0,Poor,0.11597630786662075,0.05024848150193263,0.008020021614242649,0.18519473819963886,0.21783330746546636,0.0036263237578695734
41,2015-02-11,Ahmedabad,388.0,Very Poor,0.09568162510483134,0.06568194367752622,0.03606165747113361,0.3434098529791075,0.20615396554400123,0.03924317734347072
42,2015-02-12,Ahmedabad,288.0,Poor,0.09490889213628367,0.0830756488128106,0.08071213241567601,0.3399535723497549,0.12366133788607789,0.03033622503184546
43,2015-02-13,Ahmedabad,510.0,Severe,0.11491641061922088,0.10919381557150747,0.1034070871964052,0.4148568480784111,0.15559521961819028,0.042716121848741594
44,2015-02-14,Ahmedabad,761.0,Severe,0.15353739554048568,0.13133627829928218,0.21324156760138788,0.5143667784369357,0.14147136427130216,0.08396418513689549
45,2015-02-15,Ahmedabad,475.0,Severe,0.12008014646985368,0.08418001104362231,0.08844775610033559,0.35955635800876956,0.13103367996275028,0.0462548003194119
46,2015-02-16,Ahmedabad,536.0,Severe,0.1130054628726773,0.07755383765875207,0.11290597804447984,0.37771472788238325,0.11857830203321432,0.04988112407728147
47,2015-02-17,Ahmedabad,479.0,Severe,0.10303825181215351,0.05806184428492545,0.09077981912291679,0.2821253546556616,0.14042371566040665,0.032220598706629654
48,2015-02-18,Ahmedabad,592.0,Severe,0.11357457026167525,0.07156267255659857,0.09237244752858198,0.22233685839566675,0.1451963371100419,0.05088904488007301
49,2015-02-19,Ahmedabad,427.0,Severe,0.11733381173028558,0.08304803975704031,0.06398953415619134,0.4377095692545782,0.12389414868849913,0.039966250962864665
50,2015-02-20,Ahmedabad,588.0,Severe,0.13419818665196806,0.09975151849806738,0.19248051874182356,0.5237038947639927,0.15897097625329812,0.07790570465924633
51,2015-02-21,Ahmedabad,1141.0,Severe,0.1862375751486892,0.12766427388183324,0.352369034753427,0.4377611555326283,0.13014123855346887,0.10031003119955835
52,2015-02-22,Ahmedabad,669.0,Severe,0.13559223869657774,0.13307564881281062,0.25851771799101303,0.32473562032499353,0.1348750582027006,0.04187253595944867
53,2015-02-23,Ahmedabad,1247.0,Severe,0.18542829399919666,0.15201546107123137,0.4419543825720949,0.45942739231364443,0.1446919137047959,0.26590484570166895
54,2015-02-24,Ahmedabad,411.0,Severe,0.12293612575225628,0.08834897846493649,0.07144075991126785,0.317410368841888,0.15051218376532668,0.0760980206107615
55,2015-02-25,Ahmedabad,292.0,Poor,0.08861738384506776,0.02882385422418553,0.012684147659405039,0.16894506061387668,0.26090330591339433,0.017583835744352464
56,2015-02-26,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07882567382972652,0.012789933502563076,0.0749134756559709,0.1337941582939564,0.016490395280493782
57,2015-02-27,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07882567382972652,0.012789933502563076,0.0749134756559709,0.1337941582939564,0.016490395280493782
58,2015-02-28,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07882567382972652,0.012789933502563076,0.0749134756559709,0.1337941582939564,0.016490395280493782
59,2015-03-01,Ahmedabad,166.4635814889336,Moderate,0.09286219400337359,0.04638321369409166,0.020362891758148,0.14665978849625996,0.11822908582958247,0.0061242144430486145
60,2015-03-02,Ahmedabad,189.0,Moderate,0.0926846742673559,0.05024848150193263,0.05158978442636938,0.152024761413464,0.13479745460189352,0.0030894963737740774
61,2015-03-03,Ahmedabad,408.0,Severe,0.10889640310073795,0.07923799006073992,0.07388658210568227,0.2047975238586536,0.14919292255160638,0.007318381481138595
62,2015-03-04,Ahmedabad,383.0,Very Poor,0.10996674268555061,0.08108779679734952,0.10357772595415506,0.32365230848594273,0.18151482228775415,0.01019972029781442
63,2015-03-05,Ahmedabad,780.0,Severe,0.15128185065931946,0.11667586968525678,0.27552471418008073,0.40624193964405464,0.23040509079621294,0.026085428602681128
64,2015-03-06,Ahmedabad,166.4635814889336,Moderate,0.0961674955513995,0.07882567382972652,0.012789933502563076,0.0749134756559709,0.1337941582939564,0.016490395280493782
65,2015-03-07,Ahmedabad,166.4635814889336,Moderate,0.11600763487885916,0.044422970734400886,0.014219896479153631,0.15104462213051326,0.27118578302033214,0.02619498521168021
66,2015-03-08,Ahmedabad,190.0,Moderate,0.09831309413285858,0.04643843180563224,0.019964734656731698,0.1561516636574671,0.2217522893062238,0.01379317707298427
67,2015-03-09,Ahmedabad,233.0,Poor,0.12350001197254781,0.06642738818332412,0.023491268983561797,0.25968532370389474,0.19587148843706348,0.02010363775133132
68,2015-03-10,Ahmedabad,297.0,Poor,0.11666550213586598,0.07062396466040861,0.03065809680905523,0.20036110394635026,0.23343163122768895,0.023543715273902453
69,2015-03-11,Ahmedabad,330.0,Very Poor,0.12281603887200898,0.07987299834345665,0.02337750981172857,0.27954604075315964,0.20797765016296754,0.035058114879705844
70,2015-03-12,Ahmedabad,252.0,Poor,0.11630002032641774,0.07537272225289894,0.024344462772311018,0.3625483621356719,0.15869936365047335,0.029251614602754564
71,2015-03-13,Ahmedabad,244.0,Poor,0.11177326705796614,0.05955273329652125,0.020874808031397532,0.33211245808614903,0.17724662424336488,0.025066552138989676
72,2015-03-14,Ahmedabad,234.0,Poor,0.10476645865397298,0.06907785753727223,0.03651669415846653,0.3483105493938612,0.13553468880956074,0.03593456775169849
73,2015-03-15,Ahmedabad,219.0,Poor,0.08680041713523944,0.03906681391496411,0.017632671634150502,0.2492648955377869,0.14721403073102593,0.018372643329145844
74,2015-03-16,Ahmedabad,118.0,Moderate,0.07701072581073336,0.039011595803423525,0.015471247369319152,0.2249677585762187,0.21251746081018158,0.015118812041873146
75,2015-03-17,Ahmedabad,231.0,Poor,0.08720766829433889,0.08235781336278299,0.030373698879472156,0.3054939386123291,0.17627657923327641,0.024343478519595743
76,2015-03-18,Ahmedabad,286.0,Poor,0.09107133313707727,0.08136388735505246,0.14424662988453443,0.3008511735878256,0.20510631693310566,0.0506041976966754
77,2015-03-19,Ahmedabad,883.0,Severe,0.11580400929930944,0.102263942573164,0.2630112052784256,0.2765540366262574,0.17709141704175071,0.11936192550449849
78,2015-03-20,Ahmedabad,720.0,Severe,0.11008160839709148,0.10082827167310879,0.12593140321938456,0.31622388444673716,0.18143721868694707,0.08480777102618842
79,2015-03-21,Ahmedabad,570.0,Severe,0.11937006752578286,0.11949199337382663,0.12655707866446733,0.3426876450864069,0.19618190284029177,0.09175366003673013
80,2015-03-22,Ahmedabad,589.0,Severe,0.1176470818526698,0.10858641634456104,0.14436038905636767,0.39097240134124317,0.18108800248331522,0.07807003957274494
81,2015-03-23,Ahmedabad,818.0,Severe,0.12922241287476577,0.11325234676974048,0.25942779136567884,0.3392313644570543,0.16129908427751047,0.13364810731797863
82,2015-03-24,Ahmedabad,737.0,Severe,0.13590028765025552,0.08597459966869132,0.15528126955235766,0.26293525922104716,0.13724196802731647,0.11124378077766661
83,2015-03-25,Ahmedabad,585.0,Severe,0.14713624270643527,0.09516841524019878,0.13554405323929242,0.3317513541397987,0.1698742821666925,0.11137524870846552
84,2015-03-26,Ahmedabad,616.0,Severe,0.14806561073617508,0.1195196024295969,0.10198509754848985,0.41114263605880824,0.20731801955610737,0.11090415528976946
85,2015-03-27,Ahmedabad,437.0,Severe,0.13789999526480795,0.09886802871341802,0.0364029349866333,0.24183647149858137,0.06957162812354492,0.06771694002233182
86,2015-03-28,Ahmedabad,321.0,Very Poor,0.14357540564866828,0.07697404748757593,0.03333143734713612,0.7343306680423007,0.1495033369548347,0.04134666423625307
87,2015-03-29,Ahmedabad,372.0,Very Poor,0.18508891803328043,0.0601601325234677,0.02838291337239065,0.49662109878772237,0.15427595840446998,0.027290551301671018
88,2015-03-30,Ahmedabad,339.0,Very Poor,0.13058513790713702,0.04964108227498619,0.022069279335646435,0.2957441320608718,0.15384913860003102,0.02031179530842957
89,2015-03-31,Ahmedabad,339.0,Very Poor,0.13054858972619218,0.05519050248481502,0.03708549001763267,0.2660304359040495,0.22900822598168555,0.036569996083893164
90,2015-04-01,Ahmedabad,324.0,Very Poor,0.11109451512613372,0.05538376587520707,0.02161424264831352,0.32194996131029147,0.18081638988049045,0.024792660616491977
91,2015-04-02,Ahmedabad,222.0,Poor,0.10151367054988376,0.05207067918277195,0.029804903020306014,0.5182873355687386,0.10526928449480054,0.02504464081718986
92,2015-04-03,Ahmedabad,169.0,Moderate,0.088659153194719,0.03812810601877416,0.023718787327228257,0.20815063193190608,0.08439391587769672,0.012960546844591254
93,2015-04-04,Ahmedabad,220.0,Poor,0.09390120657594785,0.04276642738818333,0.03202320687105398,0.1970595821511478,0.018275647990066736,0.01544748186887039
94,2015-04-05,Ahmedabad,166.4635814889336,Moderate,0.14279745151141418,0.04607951408061844,0.022296797679312894,0.13572349754965177,0.14395467949712865,0.017123697986556323
95,2015-04-06,Ahmedabad,303.0,Very Poor,0.12410566754249058,0.05756488128106018,0.024060064842727946,0.18328604591178746,0.13832841843861554,0.02583344840198324
96,2015-04-07,Ahmedabad,314.0,Very Poor,0.1333314726467051,0.07029265599116509,0.03213696604288721,0.4509672427134382,0.11547415800093122,0.04277090015324113
97,2015-04-08,Ahmedabad,378.0,Very Poor,0.13632320231547418,0.08470458310325787,0.08998350492008418,0.34242971369615677,0.10604532050287131,0.08160871804341525
98,2015-04-09,Ahmedabad,415.0,Severe,0.10534600838038376,0.0736885698509111,0.018770263352482792,0.3051328346659788,0.13922085984789695,0.04475387477612449
99,2015-04-10,Ahmedabad,166.4635814889336,Moderate,0.1312273416580246,0.0725013804527885,0.03355895569080257,0.17807583182873354,0.027122458482073567,0.0
100,2015-04-11,Ahmedabad,126.0,Moderate,0.09283086699113517,0.038707896189950304,0.020021614242648315,0.04163012638638122,0.07577991618811111,1.0955660899908076e-05
101,2015-04-12,Ahmedabad,175.0,Moderate,0.08153225791047856,0.05397570403092214,0.03003242136397247,0.09104978075831827,0.12141083346267265,0.0
102,2015-04-13,Ahmedabad,226.0,Poor,0.11935440401966364,0.06212037548315848,0.02212615892156305,0.08166107815321123,0.12113922085984788,0.0
103,2015-04-14,Ahmedabad,244.0,Poor,0.0914263726091127,0.05991165102153506,0.03264888231613674,0.13355687387155013,0.17037870557193854,0.019731145280734448
104,2015-04-15,Ahmedabad,315.0,Very Poor,0.11074469682280469,0.07239094422970735,0.10244013423582277,0.07005416559195253,0.1615318950799317,0.027684955094067713
105,2015-04-16,Ahmedabad,678.0,Severe,0.13472552469131477,0.10179458862506904,0.17518912462317274,0.21176167139540883,0.14608877851932328,0.03155230339173526
106,2015-04-17,Ahmedabad,774.0,Severe,0.11664983862974676,0.12802319160684705,0.11324725555997953,0.16275470724787203,0.18811112835635574,0.019303874505638027
107,2015-04-18,Ahmedabad,285.0,Poor,0.11811176586753967,0.05593594699061292,0.024458221944144244,0.24034046943513024,0.1215660406642868,0.00683633240154264
108,2015-04-19,Ahmedabad,321.0,Very Poor,0.12675802124534344,0.05568746548868028,0.039758830555713554,0.4103688418880577,0.11136116715815612,0.0072307361939393305
109,2015-04-20,Ahmedabad,358.0,Very Poor,0.09813557439684087,0.05883489784649365,0.09515954723849611,0.25834408047459373,0.11011950954524288,0.03397350445061494
110,2015-04-21,Ahmedabad,357.0,Very Poor,0.1120499889994055,0.049558255107675316,0.03583413912746715,0.07139540882125353,0.13250814837808472,0.008841218346225818
111,2015-04-22,Ahmedabad,189.0,Moderate,0.09404217813102073,0.036637217007178355,0.019566577555315396,0.12783079700799585,0.16921465155983237,0.0013475462906886934
112,2015-04-23,Ahmedabad,166.4635814889336,Moderate,0.10026059006034699,0.03942573163997791,0.019054661282065868,0.3922620582924941,0.23552692844948003,0.002497890685179041
113,2015-04-24,Ahmedabad,214.0,Poor,0.10318966570463922,0.051380452788514636,0.03242136397247028,0.33752901728140305,0.08842930311966474,0.003944037923966907
114,2015-04-25,Ahmedabad,253.0,Poor,0.11487986243827607,0.05469353948094975,0.02588021159205961,0.4405984008253804,0.08602359149464534,0.004174106802864977
115,2015-04-26,Ahmedabad,239.0,Poor,0.11707797446367182,0.042932081722805084,0.030089300949889083,0.3835955635800877,0.03922862020797764,0.003461988844370952
116,2015-04-27,Ahmedabad,166.4635814889336,Moderate,0.1450843234048188,0.040750966316951964,0.01768955122006712,0.6104720144441578,0.23172435200993324,0.0027936935294765593
117,2015-04-28,Ahmedabad,166.4635814889336,Moderate,0.11450915946012143,0.03514632799558255,0.022069279335646435,0.2163012638638122,0.10429923948471208,0.007866164526133998
118,2015-04-29,Ahmedabad,300.0,Poor,0.13322182810387065,0.04607951408061844,0.028724190887890334,0.4009801392829506,0.1054244916964147,0.003177141660973342
119,2015-04-30,Ahmedabad,317.0,Very Poor,0.12832437185726442,0.04099944781888459,0.03236448438655367,0.40371421201960267,0.07240415955300325,0.0016871717785858437
120,2015-05-01,Ahmedabad,240.0,Poor,0.11141300641722432,0.043870789618995036,0.026562766623058984,0.2032499355171524,0.04586372807698277,0.0034181662007713195
121,2015-05-02,Ahmedabad,344.0,Very Poor,0.12713916656091087,0.06604086140254004,0.0892440703031682,0.4806293525922104,0.14240260748098713,0.011240508083305685
122,2015-05-03,Ahmedabad,503.0,Severe,0.1163731166883074,0.0635284373274434,0.07462601672259825,0.34015991746195506,0.31658388949247235,0.010966616560807984
123,2015-05-04,Ahmedabad,308.0,Very Poor,0.10601431797480336,0.028961899503036997,0.015300608611569308,0.2585504255867939,0.35127269905323605,0.014702496927676638
124,2015-05-05,Ahmedabad,227.0,Poor,0.1048030068349178,0.00019326339039204863,0.015528126955235765,0.17565127676038175,0.2699053236070153,0.010188764636914512
125,2015-05-06,Ahmedabad,120.0,Moderate,0.09494544031722849,0.012617338487023745,0.01786018997781696,0.1148310549393861,0.12513580630141238,0.006628174844444386
126,2015-05-07,Ahmedabad,158.0,Moderate,0.08759403477861273,0.05648812810601877,0.03549286161196746,0.07990714469950992,0.1219540586683222,0.0014132802560881418
127,2015-05-08,Ahmedabad,177.0,Moderate,0.08117199726973674,0.05320265046935395,0.04550366873329162,0.10379159143667782,0.09968182523669096,0.00227877746718088
128,2015-05-09,Ahmedabad,201.0,Poor,0.09286219400337359,0.04917172832689122,0.05653830840111484,0.2046943513025535,0.10045786124476173,0.0038235256540679187
129,2015-05-10,Ahmedabad,211.0,Poor,0.09146292079005752,0.04757040309221424,0.06074739775894431,0.2820737683776115,0.0732577991618811,0.0015228368650872224
130,2015-05-11,Ahmedabad,221.0,Poor,0.09305537724551051,0.04605190502484815,0.06507024628860701,0.22001547588341497,0.07058047493403692,0.0028484718339760995
131,2015-05-12,Ahmedabad,233.0,Poor,0.09509163304100778,0.04436775262286029,0.06996189067743587,0.14418364714985812,0.0866832221015055,0.0025088463460789493
132,2015-05-13,Ahmedabad,481.0,Severe,0.11364244545485849,0.05215350635008282,0.11614811444172687,0.16450864070157334,0.0885845103212789,0.03546347433300245
133,2015-05-14,Ahmedabad,352.0,Very Poor,0.11184636341985578,0.08285477636664826,0.03020306012172231,0.1859169460923394,0.06305292565575042,0.05407714220194626
134,2015-05-15,Ahmedabad,327.0,Very Poor,0.1284444587375117,0.0781888459414688,0.08122404868892553,0.3617229816868712,0.0985177712245848,0.07237309590479275
135,2015-05-16,Ahmedabad,577.0,Severe,0.1286063149674102,0.07945886250690226,0.12075536090097264,0.09104978075831827,0.13351699518857674,0.12907959672271696
136,2015-05-17,Ahmedabad,411.0,Severe,0.11345970455013438,0.051849806736609605,0.04300096695296058,0.1998968274438999,0.15062858916653732,0.026731812595775704
137,2015-05-18,Ahmedabad,212.0,Poor,0.12900312378909684,0.0480949751518498,0.04061202434446277,0.2685581635285014,0.11268042837187645,0.022294769931312935
138,2015-05-19,Ahmedabad,280.0,Poor,0.08874791306272783,0.04376035339591386,0.045788066662874695,0.1868454990972401,0.08369548347043301,0.02328077941230466
139,2015-05-20,Ahmedabad,162.0,Moderate,0.08287931943673059,0.050110436223081166,0.05938228769694556,0.08764508640701571,0.09890578922862019,0.0
140,2015-05-21,Ahmedabad,166.4635814889336,Moderate,0.08710846608891723,0.04110988404196577,0.05380808827711735,0.1581635285014186,0.05005432252056495,0.0040974171765656205
141,2015-05-22,Ahmedabad,569.0,Severe,0.1046463717737257,0.047404748757592485,0.061941869063193225,0.21207118906370903,0.13813440943659785,0.05550137811893431
